id,pts,trb,ass
692,20,9,11
693,23,11,1
694,20,12,8
695,21,11,9
696,20,10,6
697,38,10,6
698,30,5,7
699,27,7,12
700,21,7,3
701,28,10,8
702,30,6,5
703,23,9,7
704,21,9,6
705,26,13,11
706,31,10,9
707,24,5,7
708,27,7,6
709,31,3,5
710,23,10,5
711,22,6,11
712,24,9,5
713,30,9,7
714,29,8,9
715,27,12,8
716,35,6,5
717,26,6,7
718,36,8,11
719,32,12,9
720,30,6,2
721,24,2,7
722,22,10,4
723,15,10,9
724,20,5,7
725,32,4,6
726,25,7,10
727,39,7,8
728,31,10,11
729,23,7,7
730,34,16,7
731,24,9,7
732,28,6,3
733,30,8,7
734,31,8,8
735,32,6,5
736,30,5,6
737,32,7,4
738,30,6,9
739,39,12,7
740,24,6,11
741,26,12,7
742,16,10,11
743,28,3,8
744,40,8,16
745,18,8,10
746,29,11,7
747,20,10,4
748,26,3,2
749,25,10,5
750,13,6,7
751,15,7,7
752,27,7,8
753,28,10,7
754,22,12,8
755,37,7,12
756,25,12,10
757,29,8,8
758,32,8,10
759,24,9,11
760,32,7,3
761,36,4,6
762,27,4,5
763,28,7,7
764,20,6,9
765,24,7,6
766,17,6,8
767,25,4,13
768,26,7,6
769,25,3,5
770,35,8,8
771,18,5,6
772,25,8,10
773,33,3,2
774,39,6,4
775,30,4,7
776,13,6,5
777,21,6,7
778,22,9,7
779,35,5,4
780,28,8,8
781,27,6,3
782,26,5,4
783,23,5,6
784,21,5,2
785,21,14,8
786,24,7,9
787,17,14,6
788,25,9,9
789,30,9,9
790,24,9,7
791,18,6,8
792,38,8,6
793,19,8,4
794,33,8,8
795,26,6,10
796,26,5,5
797,15,8,8
798,30,4,5
799,32,3,5
800,32,5,6
801,36,7,5
802,25,8,7
803,21,8,10
804,34,8,6
805,30,4,6
806,29,8,4
807,27,13,6
808,18,7,6
809,34,3,3
810,30,8,7
811,24,8,11
812,31,8,12
813,13,7,5
814,37,9,3
815,36,13,9
816,42,9,6
817,33,7,3
818,31,4,4
819,20,9,7
820,61,7,4
821,22,1,6
822,19,8,7
823,17,9,8
824,23,7,8
825,19,5,7
826,21,6,6
827,24,5,6
828,43,6,4
829,15,6,7
830,25,8,9
831,32,6,5
832,38,8,5
833,17,10,12
834,13,7,2
835,32,7,8
836,17,4,8
837,34,8,5
838,38,5,6
839,29,10,6
840,37,6,5
841,36,6,1
842,27,8,5
843,17,5,4
844,36,8,5
845,11,7,7
846,31,3,4
847,22,7,11
848,32,11,9
849,41,4,7
850,32,6,7
851,22,9,5
852,15,6,9
853,22,4,4
854,15,1,10
